PRODUCT_STYLE_NO,COLOR_MASTER,SIZE,PRICE,OFFER_PRICE,STOCK,SKU_CODE,"STATUS (1: active, 0: inactive)"
Cozi_2122,Ink Blue,2XL,415,415,10,COZI_2122_INKBU_2XL_1PC,1
Cozi_2122,Maroon,S,395,395,10,COZI_2122_MRN_S_1PC,1
Cozi_2122,Maroon,M,395,395,10,COZI_2122_MRN_M_1PC,1
Cozi_2122,Maroon,L,395,395,10,COZI_2122_MRN_L_1PC,1
Cozi_2122,Maroon,XL,395,395,10,COZI_2122_MRN_XL_1PC,1
Cozi_2122,Maroon,2XL,415,415,10,COZI_2122_MRN_2XL_1PC,1
Cozi_2122,Oxford Blue,S,395,395,10,COZI_2122_OXBLU_S_1PC,1
Cozi_2122,Oxford Blue,M,395,395,10,COZI_2122_OXBLU_M_1PC,1
Cozi_2122,Oxford Blue,L,395,395,10,COZI_2122_OXBLU_L_1PC,1
Cozi_2122,Oxford Blue,XL,395,395,10,COZI_2122_OXBLU_XL_1PC,1
Cozi_2122,Oxford Blue,2XL,415,415,10,COZI_2122_OXBLU_2XL_1PC,1
Cozi_2122,Sea Green,S,395,395,10,COZI_2122_SGN_S_1PC,1
Cozi_2122,Sea Green,M,395,395,10,COZI_2122_SGN_M_1PC,1
Cozi_2122,Sea Green,L,395,395,10,COZI_2122_SGN_L_1PC,1
Cozi_2122,Sea Green,XL,395,395,10,COZI_2122_SGN_XL_1PC,1
Cozi_2122,Sea Green,2XL,415,415,10,COZI_2122_SGN_2XL_1PC,1
Cozi_2122,White,S,395,395,10,COZI_2122_WH_S_1PC,1
Cozi_2122,White,M,395,395,10,COZI_2122_WH_M_1PC,1
Cozi_2122,White,L,395,395,10,COZI_2122_WH_L_1PC,1
Cozi_2122,White,XL,395,395,10,COZI_2122_WH_XL_1PC,1
Cozi_2122,White,2XL,415,415,10,COZI_2122_WH_2XL_1PC,1
Cozi_2122,Yellow,S,395,395,10,COZI_2122_YLW_S_1PC,1
Cozi_2122,Yellow,M,395,395,10,COZI_2122_YLW_M_1PC,1
Cozi_2122,Yellow,L,395,395,10,COZI_2122_YLW_L_1PC,1
Cozi_2122,Yellow,XL,395,395,10,COZI_2122_YLW_XL_1PC,1
Cozi_2122,Yellow,2XL,415,415,10,COZI_2122_YLW_2XL_1PC,1
NC 431,Black,S,575,575,10,ONN_431_BLK_S_1PC,1
NC 431,Black,M,575,575,10,ONN_431_BLK_M_1PC,1
NC 431,Black,L,575,575,10,ONN_431_BLK_L_1PC,1
NC 431,Black,XL,575,575,10,ONN_431_BLK_XL_1PC,1
NC 431,Black,XXL,599,599,10,ONN_431_BLK_XXL_1PC,1
NC 431,Coffee,S,575,575,10,ONN_431_COFEE_S_1PC,1
NC 431,Coffee,M,575,575,10,ONN_431_COFEE_M_1PC,1
NC 431,Coffee,L,575,575,10,ONN_431_COFEE_L_1PC,1
NC 431,Coffee,XL,575,575,10,ONN_431_COFEE_XL_1PC,1
NC 431,Coffee,XXL,599,599,10,ONN_431_COFEE_XXL_1PC,1
NC 431,Dusty Pink,S,575,575,10,ONN_431_DUSTPINK_S_1PC,1
NC 431,Dusty Pink,M,575,575,10,ONN_431_DUSTPINK_M_1PC,1
NC 431,Dusty Pink,L,575,575,10,ONN_431_DUSTPINK_L_1PC,1
NC 431,Dusty Pink,XL,575,575,10,ONN_431_DUSTPINK_XL_1PC,1
NC 431,Dusty Pink,XXL,599,599,10,ONN_431_DUSTPINK_XXL_1PC,1
NC 431,Grey Melange,S,575,575,10,ONN_431_GR_S_1PC,1
NC 431,Grey Melange,M,575,575,10,ONN_431_GR_M_1PC,1
NC 431,Grey Melange,L,575,575,10,ONN_431_GR_L_1PC,1
NC 431,Grey Melange,XL,575,575,10,ONN_431_GR_XL_1PC,1
NC 431,Grey Melange,XXL,599,599,10,ONN_431_GR_XXL_1PC,1
NC 431,White,S,575,575,10,ONN_431_WH_S_1PC,1
NC 431,White,M,575,575,10,ONN_431_WH_M_1PC,1
NC 431,White,L,575,575,10,ONN_431_WH_L_1PC,1
NC 431,White,XL,575,575,10,ONN_431_WH_XL_1PC,1
NC 431,White,XXL,599,599,10,ONN_431_WH_XXL_1PC,1
NC 432,Black,S,599,599,10,ONN_432_BLACK_S_1PC,1
NC 432,Black,M,599,599,10,ONN_432_BLACK_M_1PC,1
NC 432,Black,L,599,599,10,ONN_432_BLACK_L_1PC,1
NC 432,Black,XL,599,599,10,ONN_432_BLACK_XL_1PC,1
NC 432,Black,XXL,625,625,10,ONN_432_BLACK_XXL_1PC,1
NC 432,Camel ,S,599,599,10,ONN_432_CAMEL_S_1PC,1
NC 432,Camel ,M,599,599,10,ONN_432_CAMEL_M_1PC,1
NC 432,Camel ,L,599,599,10,ONN_432_CAMEL_L_1PC,1
NC 432,Camel ,XL,599,599,10,ONN_432_CAMEL_XL_1PC,1
NC 432,Camel ,XXL,625,625,10,ONN_432_CAMEL_XXL_1PC,1
NC 432,Mouse,S,599,599,10,ONN_432_MOUSE_S_1PC,1
NC 432,Mouse,M,599,599,10,ONN_432_MOUSE_M_1PC,1
NC 432,Mouse,L,599,599,10,ONN_432_MOUSE_L_1PC,1
NC 432,Mouse,XL,599,599,10,ONN_432_MOUSE_XL_1PC,1
NC 432,Mouse,XXL,625,625,10,ONN_432_MOUSE_XXL_1PC,1
NC 432,Mustard,S,599,599,10,ONN_432_MST_S_1PC,1
NC 432,Mustard,M,599,599,10,ONN_432_MST_M_1PC,1
NC 432,Mustard,L,599,599,10,ONN_432_MST_L_1PC,1
NC 432,Mustard,XL,599,599,10,ONN_432_MST_XL_1PC,1
NC 432,Mustard,XXL,625,625,10,ONN_432_MST_XXL_1PC,1
NC 432,White,S,599,599,10,ONN_432_WHT_S_1PC,1
NC 432,White,M,599,599,10,ONN_432_WHT_M_1PC,1
NC 432,White,L,599,599,10,ONN_432_WHT_L_1PC,1
NC 432,White,XL,599,599,10,ONN_432_WHT_XL_1PC,1
NC 432,White,XXL,625,625,10,ONN_432_WHT_XXL_1PC,1
CARD HOLDER,Black,One Size,999,999,10,AC078243-1,1
CARD HOLDER,Assorted,One Size,1149,1149,10,ACLFB10373_6S-MIX,1
KEY RING,Nickle Black,One Size,749,749,10,AC968532B-1,1
KEY RING,Nickle Black,One Size,699,699,10,AC968533B-1,1
POUCH,Black,One Size,1749,1749,10,AC7663924_6-1,1
POUCH,Black,One Size,549,549,10,AC50810171_6-1,1
POUCH,Black,One Size,749,749,10,AC54010196_6-1,1
POUCH,Silver,One Size,749,749,10,AC54010196_6-188,1
POUCH,Ivory,One Size,1149,1149,10,ACP10224082-16,1
POUCH,Green,One Size,1149,1149,10,ACP10224082-33,1
WALLET,Tabasco,One Size,2949,2949,10,AC298340_6S-578,1
WALLET,Black,One Size,1399,1399,10,AC018173-1,1
WALLET,Black,One Size,999,999,10,AC1268121_6S-1,1
CARD HOLDER,Black,One Size,699,699,10,PT2938257_4-1,1
CARD HOLDER,Black,One Size,749,749,10,PT5548257_6-1,1
CARD HOLDER,Black,One Size,699,699,10,PT5728257_6-1,1
CARD HOLDER,Black,One Size,799,799,10,PT5788257_6-1,1
CARD HOLDER,Black,One Size,699,699,10,PT2228796_3-1,1
KEY RING,Black,One Size,1249,1249,10,PT488708_1-1,1
WALLET,Brown,One Size,1299,1299,10,PTO3408121_5-3,1
BACKPACK,Lime Green / Navy,One Size,2399,2399,10,PT9624582_6-456,1
BACKPACK,Black,One Size,2099,2099,10,PT9634583_6-1,1
BACKPACK,Grey/Black,One Size,2099,2099,10,PT9634583_6-53,1
BACKPACK,Navy/Black,One Size,2099,2099,10,PT9634583_6-56,1
BACKPACK,Red,One Size,1599,1599,10,PT9644584_6-461,1
BACKPACK,Grey/Black,One Size,1949,1949,10,PT9654585_6-53,1
BACKPACK,Black,One Size,1749,1749,10,PT9674587_6-1,1
BACKPACK,Black/Grey,One Size,1749,1749,10,PT9674587_6-95,1
BACKPACK,Grey/Black,One Size,1599,1599,10,PT9684588_6-53,1
BACKPACK,Olive / Black,One Size,1599,1599,10,PT9684588_6-460,1
BACKPACK,Black,One Size,1599,1599,10,PT9694594_6-1,1
BACKPACK,Navy/Sky Blue,One Size,2649,2649,10,PT9774627_6-465,1
BACKPACK,Black,One Size,1599,1599,10,PTN10854967-1,1
BACKPACK,Royal Blue,One Size,1599,1599,10,PTN10854967-269,1
BACKPACK,Army Green / Black,One Size,3999,3999,10,PTO020009_1-2,1
DOUBLE BEDSHEET,Geo Coral,DOUBLE BED,1799,1799,10,BEDSHEET_GEO CORAL_1068598,1
SINGLE BEDSHEET,Floral Blue,SINGLE BED,1999,1999,10,BEDSHEET_FLORAL BLUE_1066045,1
TOWEL,Sage Mint,One Size,2499,2499,10,TOWEL_SAGE MINT_1068923,1
